iter	Passed	Remaining
782	7475	49808
783	7484	49796
784	7494	49785
785	7503	49773
786	7514	49774
787	7523	49763
788	7533	49754
789	7543	49746
790	7553	49742
791	7562	49728
792	7572	49723
793	7581	49711
794	7591	49702
795	7600	49691
796	7610	49682
797	7618	49662
798	7627	49651
799	7637	49642
800	7647	49635
801	7656	49621
802	7667	49622
803	7676	49608
804	7685	49600
805	7695	49588
806	7705	49582
807	7713	49564
808	7724	49565
809	7733	49550
810	7742	49540
811	7751	49526
812	7762	49522
813	7770	49508
814	7780	49502
815	7788	49480
816	7798	49474
817	7806	49455
818	7818	49456
819	7826	49440
820	7837	49439
821	7846	49426
822	7856	49421
823	7864	49401
824	7875	49398
825	7884	49386
826	7894	49381
827	7904	49373
828	7914	49368
829	7923	49353
830	7934	49351
831	7943	49341
832	7952	49329
833	7960	49311
834	7970	49300
835	7978	49285
836	7988	49275
837	7997	49263
838	8008	49262
839	8016	49245
840	8026	49237
841	8035	49224
842	8045	49217
843	8053	49201
844	8064	49197
845	8073	49184
846	8084	49184
847	8092	49164
848	8102	49161
849	8111	49147
850	8121	49141
851	8129	49121
852	8140	49116
853	8148	49101
854	8160	49106
855	8170	49102
856	8181	49098
857	8189	49079
858	8199	49071
859	8207	49053
860	8216	49043
861	8226	49035
862	8237	49032
863	8245	49013
864	8254	49003
865	8262	48983
866	8273	48982
867	8282	48972
868	8292	48962
869	8302	48954
870	8312	48950
871	8320	48932
872	8332	48934
873	8340	48918
874	8351	48915
875	8360	48905
876	8370	48898
877	8378	48879
878	8390	48881
879	8399	48871
880	8410	48868
881	8418	48849
882	8427	48838
883	8435	48818
884	8445	48814
885	8453	48795
886	8464	48793
887	8474	48782
888	8484	48779
889	8493	48764
890	8503	48761
891	8512	48743
892	8521	48733
893	8529	48714
894	8539	48710
895	8547	48691
896	8558	48690
897	8566	48672
898	8577	48671
899	8585	48650
900	8595	48646
901	8604	48633
902	8616	48633
903	8625	48624
904	8636	48620
905	8644	48601
906	8653	48590
907	8662	48578
908	8672	48573
909	8681	48561
910	8690	48547
911	8699	48534
912	8710	48531
913	8718	48515
914	8729	48513
915	8739	48504
916	8748	48492
917	8757	48478
918	8766	48470
919	8776	48461
920	8786	48453
921	8795	48444
922	8805	48433
923	8813	48419
924	8825	48422
925	8834	48409
926	8846	48411
927	8855	48399
928	8866	48398
929	8875	48388
930	8886	48384
931	8895	48372
932	8905	48364
933	8913	48347
934	8923	48337
935	8931	48322
936	8942	48321
937	8951	48307
938	8961	48300
939	8970	48289
940	8978	48271
941	8987	48258
942	8997	48249
943	9006	48237
944	9016	48229
945	9026	48223
946	9035	48211
947	9043	48193
948	9053	48186
949	9062	48176
950	9072	48166
951	9081	48157
952	9092	48153
953	9101	48143
954	9113	48141
955	9122	48129
956	9132	48123
957	9142	48115
958	9153	48112
959	9162	48104
960	9172	48094
961	9180	48077
962	9189	48067
963	9197	48050
964	9208	48044
965	9217	48035
966	9227	48028
967	9237	48018
968	9246	48008
969	9256	48000
970	9266	47993
971	9275	47983
972	9285	47972
973	9294	47960
974	9305	47957
975	9314	47944
976	9323	47935
977	9331	47917
978	9340	47906
979	9349	47892
980	9359	47887
981	9368	47873
982	9378	47863
983	9385	47845
984	9397	47846
985	9406	47834
986	9417	47833
987	9427	47824
988	9436	47813
989	9446	47803
990	9457	47801
991	9465	47784
992	9474	47774
993	9484	47768
994	9494	47756
995	9502	47739
996	9513	47739
997	9521	47722
998	9531	47713
999	9540	47700
1000	9550	47696
1001	9559	47681
1002	9570	47679
1003	9579	47668
1004	9589	47659
1005	9598	47647
1006	9608	47641
1007	9618	47632
1008	9627	47623
1009	9636	47612
1010	9647	47607
1011	9656	47595
1012	9667	47591
1013	9676	47581
1014	9687	47578
1015	9695	47561
1016	9706	47558
1017	9714	47541
1018	9723	47531
1019	9732	47517
1020	9742	47512
1021	9751	47499
1022	9762	47494
1023	9771	47485
1024	9782	47481
1025	9791	47470
1026	9802	47464
1027	9811	47452
1028	9821	47446
1029	9845	47505
1030	9866	47551
1031	9875	47541
1032	9886	47538
1033	9896	47529
1034	9908	47533
1035	9917	47520
1036	9927	47511
1037	9937	47502
1038	9948	47502
1039	9958	47492
1040	9968	47484
1041	9976	47469
1042	9986	47461
1043	9996	47454
1044	10006	47445
1045	10016	47437
1046	10027	47434
1047	10036	47425
1048	10046	47418
1049	10056	47407
1050	10066	47399
1051	10074	47383
1052	10083	47373
1053	10091	47356
1054	10102	47350
1055	10112	47342
1056	10122	47334
1057	10130	47318
1058	10141	47315
1059	10151	47308
1060	10162	47308
1061	10172	47297
1062	10182	47292
1063	10191	47280
1064	10203	47279
1065	10212	47268
1066	10223	47264
1067	10231	47248
1068	10241	47239
1069	10249	47225
1070	10260	47221
1071	10270	47213
1072	10280	47206
1073	10288	47190
1074	10299	47186
1075	10308	47172
1076	10318	47167
1077	10326	47150
1078	10336	47143
1079	10346	47136
1080	10357	47133
1081	10367	47123
1082	10378	47118
1083	10386	47101
1084	10397	47100
1085	10408	47097
1086	10418	47091
1087	10428	47079
1088	10439	47076
1089	10447	47060
1090	10458	47057
1091	10467	47045
1092	10477	47040
1093	10487	47031
1094	10497	47024
1095	10508	47020
1096	10518	47014
1097	10529	47008
1098	10540	47004
1099	10550	46999
1100	10569	47029
1101	10578	47018
1102	10590	47018
1103	10600	47009
1104	10611	47007
1105	10619	46992
1106	10630	46988
1107	10639	46974
1108	10650	46971
1109	10660	46962
1110	10670	46955
1111	10680	46946
1112	10688	46933
1113	10698	46924
1114	10709	46919
1115	10719	46910
1116	10730	46908
1117	10740	46901
1118	10750	46894
1119	10761	46887
1120	10773	46888
1121	10781	46873
1122	10793	46875
1123	10802	46860
1124	10812	46852
1125	10820	46837
1126	10832	46838
1127	10841	46827
1128	10853	46827
1129	10864	46822
1130	10876	46822
1131	10885	46813
1132	10897	46813
1133	10906	46800
1134	10916	46793
1135	10928	46791
1136	10942	46800
1137	10953	46797
1138	10965	46797
1139	10974	46786
1140	10986	46786
1141	10996	46780
1142	11009	46782
1143	11024	46795
1144	11037	46800
1145	11049	46801
1146	11061	46800
1147	11073	46803
1148	11086	46806
1149	11097	46803
1150	11111	46811
1151	11123	46812
1152	11135	46811
1153	11145	46804
1154	11157	46802
1155	11167	46794
1156	11177	46787
1157	11187	46776
1158	11196	46767
1159	11206	46759
1160	11217	46754
1161	11226	46741
1162	11237	46736
1163	11246	46726
1164	11256	46716
1165	11265	46705
1166	11277	46704
1167	11286	46694
1168	11297	46688
1169	11307	46678
1170	11316	46668
1171	11326	46657
1172	11336	46649
1173	11345	46636
1174	11355	46631
1175	11364	46619
1176	11376	46616
1177	11383	46597
1178	11394	46591
1179	11404	46582
1180	11413	46570
1181	11422	46559
1182	11432	46550
1183	11440	46534
1184	11450	46528
1185	11460	46518
1186	11470	46509
1187	11478	46495
1188	11490	46492
1189	11498	46476
1190	11508	46469
1191	11517	46457
1192	11527	46447
1193	11535	46431
1194	11546	46428
1195	11556	46417
1196	11565	46407
1197	11574	46396
1198	11586	46393
1199	11596	46386
1200	11607	46380
1201	11614	46362
1202	11624	46352
1203	11632	46337
1204	11642	46330
1205	11652	46318
1206	11662	46312
1207	11671	46299
1208	11682	46293
1209	11691	46281
1210	11701	46273
1211	11709	46258
1212	11720	46253
1213	11729	46241
1214	11738	46229
1215	11747	46215
1216	11756	46205
1217	11764	46188
1218	11775	46182
1219	11783	46169
1220	11794	46163
1221	11803	46151
1222	11812	46140
1223	11821	46128
1224	11832	46122
1225	11840	46105
1226	11851	46101
1227	11859	46085
1228	11870	46080
1229	11879	46068
1230	11889	46061
1231	11898	46048
1232	11908	46039
1233	11916	46024
1234	11925	46013
1235	11934	46000
1236	11946	45998
1237	11954	45983
1238	11964	45974
1239	11972	45958
1240	11982	45951
1241	11992	45941
1242	12003	45939
1243	12012	45924
1244	12021	45914
1245	12029	45896
1246	12038	45886
1247	12048	45877
1248	12059	45872
1249	12067	45855
1250	12078	45850
1251	12086	45837
1252	12095	45823
1253	12103	45807
1254	12113	45801
1255	12123	45792
1256	12134	45787
1257	12145	45782
1258	12155	45775
1259	12165	45766
1260	12177	45764
1261	12187	45754
1262	12196	45744
1263	12205	45733
1264	12217	45729
1265	12226	45719
1266	12236	45711
1267	12246	45703
1268	12257	45697
1269	12266	45685
1270	12276	45676
1271	12286	45668
1272	12297	45664
1273	12306	45651
1274	12316	45645
1275	12324	45628
1276	12336	45627
1277	12346	45617
1278	12357	45613
1279	12367	45603
1280	12377	45595
1281	12384	45578
1282	12395	45570
1283	12404	45559
1284	12414	45553
